trx,cds,utr5,utr3,
YDR266C,192,180,7,0
YDR267C,70,65,1,0
YDR271C,2,1,NA,1
YDR274C,0,0,0,0
YDR276C,579,389,1,2
YDR277C,141,129,0,0
YDR281C,0,0,0,0
YDR282C,27,23,0,2
YDR283C,100,97,NA,0
YDR284C,144,128,3,0
YDR286C,27,25,NA,0
YDR289C,117,113,0,0
YDR292C,181,171,0,0
YDR293C,387,355,16,NA
YDR294C,241,232,0,0
YDR295C,80,71,1,1
YDR298C,563,494,6,0
YDR300C,98,78,0,0
YDR303C,120,115,0,0
YDR304C,415,362,0,1
YDR305C,72,67,NA,0
YDR306C,63,52,1,0
YDR308C,103,85,0,0
YDR309C,459,405,1,0
YDR310C,95,91,1,0
YDR313C,34,33,0,0
YDR314C,16,12,2,0
YDR315C,10,10,0,0
YDR319C,47,34,3,0
YDR320C,199,193,0,0
YDR320C-A,64,37,NA,0
YDR322C-A,267,225,0,0
YDR323C,15,15,0,0
YDR324C,305,303,NA,0
YDR326C,114,110,NA,0
YDR328C,407,328,4,0
YDR329C,94,86,0,0
YDR333C,145,143,0,0
YDR338C,28,27,0,0
YDR339C,232,191,0,0
YDR341C,980,926,0,0
YDR342C,3548,3383,21,2
YDR343C,3463,3300,21,0
YDR345C,1664,1604,2,1
YDR346C,296,255,1,0
YDR348C,165,155,1,0
YDR349C,79,73,0,0
YDR350C,47,44,1,0
YDR357C,61,54,1,1
YDR359C,47,43,3,0
YDR361C,247,216,0,0
YDR362C,53,49,0,0
YDR364C,47,41,0,1
YDR365C,369,350,2,1
YDR366C,0,0,0,0
YDR369C,43,42,NA,0
YDR370C,46,43,0,0
YDR372C,243,206,11,0
YDR375C,96,88,0,0
YDR378C,110,81,0,2
YDR379C-A,35,25,0,0
YDR381C-A,85,67,NA,0
YDR383C,35,25,0,0
YDR384C,251,215,4,0
YDR387C,26,16,10,0
YDR390C,152,145,0,0
YDR391C,138,127,0,0
YDR397C,115,92,6,0
YDR402C,1,1,NA,0
YDR404C,92,72,2,0
YDR407C,55,53,0,0
YDR408C,143,123,0,0
YDR410C,37,33,0,0
YDR411C,173,158,0,1
YDR414C,30,23,3,0
YDR415C,85,76,0,0
YDR422C,101,98,0,0
YDR423C,58,57,NA,0
YDR424C,94,72,0,0
YDR426C,0,0,0,0
YDR428C,52,44,0,0
YDR429C,762,680,0,1
YDR430C,185,178,0,0
YDR435C,50,43,0,0
YDR441C,44,36,2,0
YDR443C,54,53,NA,0
YDR445C,6,6,NA,0
YDR447C,2132,1737,0,3
YDR449C,176,156,0,1
YDR451C,230,217,0,0
YDR453C,19,19,0,0
YDR454C,377,327,0,0
YDR458C,137,125,1,0
YDR459C,11,10,0,0
YDR461C-A,28,18,0,0
YDR465C,182,162,0,0
YDR468C,103,94,0,0
YDR470C,81,73,0,0
YDR473C,57,51,1,0
YDR475C,55,50,0,0
YDR476C,99,93,0,0
YDR479C,65,63,0,0
YDR481C,165,148,1,0
YDR482C,29,26,0,0
