gene_id	log2FC_pop2ccr4_hl	log2FC_dcp2_hl
YBR102C	-0.05150463074129785	0.7332408152962805
YBR103W	0.24264205564136923	-0.20538446879032346
YBR104W	0.4464176019231109	0.3089272423494168
YBR105C	-0.09727724967421088	-0.31339538905990977
YBR106W	0.3930001730829557	0.06417227092439017
YBR107C	0.02899251172352196	0.5896247844236133
YBR108W	0.8080409929699773	-1.0050293152733685
YBR109C	0.36107049300395205	0.016574515732924313
YBR110W	0.53479460494323094	0.3541410383222223
YBR111C	0.16746294236945056	0.014992637886970814
YBR111W-A	-0.026652590448829106	0.21035889699384328
YBR112C	0.4298095138808579	0.5043959676702529
YBR114W	-0.3773270376273849	0.09006044186561749
YBR115C	0.7032855487591346	0.40767629773683633
YBR117C	0.2030343628475735	-0.3784092022354789
YBR118W	0.9699916705994918	-0.34719923995106233
YBR119W	0.49513878338705036	-0.14877264058766695
YBR120C	0.15449269202417326	-0.49924358450825607
YBR121C	0.5814823084884647	0.09584978126170282
YBR122C	0.5095050038255489	0.27927013385473953
YBR123C	0.47348525771533617	0.10215470468428119
YBR125C	0.200951547942471	0.3828503550831555
YBR126C	0.22988802348107135	0.1833060349304852
YBR127C	0.41662212322913333	0.06477125793698213
YBR128C	-1.64103538106358	-1.8669682916533787
YBR129C	0.8864044208081887	0.2440796665061644
YBR130C	0.5713485054725478	0.16966766664797647
YBR131W	0.3007584626380883	-0.202563595844446
YBR132C	0.4450062684243859	0.33045759869180924
YBR133C	-0.12414263467872565	0.46286441046250254
YBR135W	0.2630015569113778	0.4739990456924146
YBR136W	1.0591485863380994	0.20563062326491893
YBR137W	0.3580447275320651	0.09261796519382728
YBR138C	-0.5699657201171834	0.037551032054219946
YBR139W	0.5611541317795661	0.2523452368402864
YBR140C	0.07554781611009169	0.027850477740687135
YBR141C	0.6883843431835703	0.2867399429083784
YBR142W	0.8375818971715093	0.30885126869942875
YBR143C	0.35493942610352625	0.46193804569005237
YBR145W	0.40804576183046054	-0.10298041994595152
YBR146W	0.42388148215362	-0.0037086423883945147
YBR147W	-1.1746716736150096	-0.5210712716089098
YBR148W	0.4691920055982997	0.07896686696212023
YBR149W	0.5380551823537187	0.030679103329770648
YBR150C	0.7886524184280844	0.6792593729762907
YBR151W	0.1524625199325444	-0.01045002992635663
YBR152W	1.1293889276646378	-0.8279511897503617
YBR153W	0.10031782321271268	0.21227096644730675
YBR154C	0.2801007930541264	0.41675821605829866
