gene_id	log2FC_ccr4_60	log2FC_not1_60	log2FC_xrn1_60	log2FC_dcp2_chapp_60	log2FC_pop2_60	not1_sensitive	xrn1_sensitive	ccr4_sensitive	pop2_sensitive	dcp2_sensitive
YBL058W	-0.3726588970082921	1.041349738538873	0.7467741264360616	0.5501441677796821	0.47544314863769316	TRUE	FALSE	FALSE	FALSE	FALSE
YBL059C-A	-0.31487333735341183	0.0856589293704205	0.9664662254941113	0.6038148673459229	0.00844865201034814	FALSE	FALSE	FALSE	FALSE	FALSE
YBL059W	0	0.7713756249520375	0.2585602640948312	0.19264507794239583	0.13750352374993502	TRUE	FALSE	FALSE	FALSE	FALSE
YBL060W	0.2768402053588242	0.11821218514117487	1.767102012651881	0.4243153128668547	0.07108309806148268	FALSE	TRUE	FALSE	FALSE	FALSE
YBL061C	-0.07540740265802251	0.28822273792462694	0.8346484912969473	0.1192027070069913	-0.11452838802638733	FALSE	FALSE	FALSE	FALSE	FALSE
YBL062W	0	0	0.29956028185890793	-0.4150374992788438	1	FALSE	FALSE	FALSE	TRUE	FALSE
YBL063W	-0.07038932789139803	0.23388806017427727	0.5118493392689483	0.11619301750452257	0.2630344058337938	FALSE	FALSE	FALSE	FALSE	FALSE
YBL064C	0.11864449649861893	0.6708443061520152	0.3433749382819985	1.2467242162387624	-0.1147116588766925	FALSE	FALSE	FALSE	FALSE	TRUE
YBL065W	0	0	-0.09310940439148147	0	0	FALSE	FALSE	FALSE	FALSE	FALSE
YBL066C	0	0.5849625007211562	0.06711419585853703	0	0.3625700793847081	FALSE	FALSE	FALSE	FALSE	FALSE
YBL067C	-0.39301119294884496	-0.12428233588660006	1.0661417633863732	0.8130014851987464	0.3364276645824776	FALSE	FALSE	FALSE	FALSE	TRUE
YBL068W	-0.26098657718493523	0.7784738020704749	0.9887945452921196	-0.032487852748904554	0.30406755677436065	TRUE	FALSE	FALSE	FALSE	FALSE
YBL068W-A	0.30812229536233193	0.517848304862619	0.675957472599134	0.4601253888073818	-0.06300979752580019	FALSE	FALSE	FALSE	FALSE	FALSE
YBL069W	0.13750352374993502	0.0874628412503394	0.7111317970275771	1.1154772174199359	-0.2630344058337938	FALSE	FALSE	FALSE	FALSE	TRUE
YBL071W-A	0.027905996569884482	-0.09540121589947126	0.7145977811377514	0.42049192937095176	-0.06279512673589614	FALSE	FALSE	FALSE	FALSE	FALSE
YBL072C	-0.5603828326960024	-0.3560718445211754	0.04975918615254406	-0.1356117303983518	-0.6274841494487073	FALSE	FALSE	FALSE	FALSE	FALSE
YBL074C	0	NA	0.16992500144231237	NA	0	FALSE	FALSE	FALSE	FALSE	FALSE
YBL075C	-0.050626073069968115	-0.03093185955189092	1.2060307899654563	0.48542682717024166	0.3490076289436464	FALSE	FALSE	FALSE	FALSE	FALSE
YBL076C	-0.4286435348820802	0.18460076740546377	0.5624823468118135	-0.2898872755193281	-0.48589653091552304	FALSE	FALSE	FALSE	FALSE	FALSE
YBL077W	-0.09310940439148147	-0.3219280948873623	0.2100643922955266	-0.3219280948873623	-0.32192809488736246	FALSE	FALSE	FALSE	FALSE	FALSE
YBL078C	-0.12553088208385882	0.31941687573131244	0.44093753464636265	0.1523061488060823	0.1362357775867334	FALSE	FALSE	FALSE	FALSE	FALSE
YBL079W	-0.3081222953623318	0.2489342087889398	1.1795819710124562	0.28540221886224837	-0.5502708494039519	FALSE	FALSE	FALSE	FALSE	FALSE
YBL080C	-0.4405725913859815	0.45943161863729726	0.5525410230287788	0.514573172829758	-0.2667865406949015	FALSE	FALSE	FALSE	FALSE	FALSE
YBL081W	-0.33400092718793717	0.37196877738695766	0.87733058092612	0.3410369178350672	0.0708324841046471	FALSE	FALSE	FALSE	FALSE	FALSE
YBL082C	-0.18535504201191844	0.15723974181119718	0.46156833626303073	0.45943161863729726	-0.09621531525930317	FALSE	FALSE	FALSE	FALSE	FALSE
YBL083C	-0.18535504201191844	0.08453351021166769	0.3959127612401469	0.42449782852791007	-0.13158355220611723	FALSE	FALSE	FALSE	FALSE	FALSE
YBL084C	0	0.06454025219471066	0.978017128061806	0.14755718841385793	-0.07400058144377675	FALSE	FALSE	FALSE	FALSE	FALSE
YBL085W	-0.1529929357074742	0.16349873228287926	0.3128995619723864	0.22650852980868003	-0.3230910897434813	FALSE	FALSE	FALSE	FALSE	FALSE
YBL086C	-0.18259141327847309	0.5920172582551066	0.7752440294334495	0.4515633753039576	0.011883881371088612	FALSE	FALSE	FALSE	FALSE	FALSE
YBL087C	-0.5495341721544759	-0.3588171447029999	-0.21593562873391423	-0.2372303389638023	-0.729279420286362	FALSE	FALSE	FALSE	FALSE	FALSE
YBL088C	-0.04692104738749257	0.01594154386902182	0.6787835856536941	0.40296466697826855	-0.5193741590935794	FALSE	FALSE	FALSE	FALSE	FALSE
YBL089W	0.12928301694496647	0.6114347120823471	0.8383275725798915	0.18641312423088138	0.2345443465917801	FALSE	FALSE	FALSE	FALSE	FALSE
YBL090W	0.8159169355610281	0.31702929547452313	0.7998233481646903	0.6064956622707974	0.4334521189773422	FALSE	FALSE	TRUE	FALSE	FALSE
YBL091C	-0.22239242133644802	-0.019506079810990725	0.22736539390817556	0.6979714625503419	-0.2355007238497995	FALSE	FALSE	FALSE	FALSE	FALSE
YBL091C-A	-0.49185309632967467	-0.20204377594464537	0.385604881539245	1.1393366816088895	-0.008220506804968527	FALSE	FALSE	FALSE	FALSE	TRUE
YBL092W	-0.4956603740918842	-0.2558477428664949	0.8104063979796583	-0.4712474046807908	-0.47583420733001547	FALSE	FALSE	FALSE	FALSE	FALSE
YBL093C	-0.39555849133861876	0.7335515513366946	0.9733993378493481	0.6035006886332929	0.18918537594652884	FALSE	FALSE	FALSE	FALSE	FALSE
YBL094C	0	0.2630344058337938	-0.045581034308895506	0.8300749985576875	0.14135584924554156	FALSE	FALSE	FALSE	FALSE	TRUE
YBL095W	-0.17508670655809114	0.8971071181800545	1.1993687793347942	0.7885667906534181	0.12873331412220274	TRUE	FALSE	FALSE	FALSE	TRUE
